# Метеостанция Роттердам / Зестинховен (аэропорт), Нидерланды, WMO_ID=6344, выборка с 19.02.2019 по 19.03.2019, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=6344&lang=ru
#
"Местное время в Роттердаме / Зестинховене (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.03.2019 13:00";"10.5";"771.8";"771.3";"0.5";"70";"Ветер, дующий с юго-запада";"4";"6";"8";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"600-1000";"";"";"24.0";"5.3";"Осадков нет";"6";"";"";"";"";
"19.03.2019 12:00";"9.7";"771.7";"771.2";"0.7";"78";"Ветер, дующий с юго-юго-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2000-2500";"";"";"20.0";"6.1";"Осадков нет";"1";"";"";"";"";
"19.03.2019 11:00";"7.4";"771.7";"771.3";"1.2";"87";"Ветер, дующий с юго-юго-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"2000-2500";"";"";"13.0";"5.3";"Осадков нет";"1";"";"";"";"";
"19.03.2019 10:00";"6.0";"771.3";"770.8";"1.0";"90";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1500-2000";"";"";"11.0";"4.5";"Осадков нет";"1";"";"";"";"";
"19.03.2019 09:00";"4.7";"771.0";"770.6";"1.1";"95";"Ветер, дующий с юго-юго-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"-1.8";"";"";"100%.";"1000-1500";"";"";"10.0";"3.9";"Осадков нет";"1";"";"";"";"";
"19.03.2019 08:00";"3.4";"770.5";"770.2";"0.7";"97";"Ветер, дующий с юга";"1";"";"";"100%.";"Дымка. ";"Пониженная видимость.";"";"";"";"";"100%.";"2000-2500";"";"";"9.0";"2.9";"Осадков нет";"1";"";"";"";"";
"19.03.2019 07:00";"0.2";"770.1";"769.8";"0.5";"100";"Ветер, дующий с юго-юго-востока";"2";"";"";"10%  или менее, но не 0";"Дымка. ";"";"";"-1.8";"";"";"10%  или менее, но не 0";"2500 или более, или облаков нет.";"";"";"7.0";"0.2";"Осадков нет";"12";"";"";"";"";
"19.03.2019 06:00";"-0.6";"769.9";"769.5";"0.6";"99";"Ветер, дующий с юго-востока";"1";"";"";"Облаков нет.";"Дымка. ";"";"";"";"";"";"";"";"";"";"7.0";"-0.8";"Осадков нет";"1";"";"";"";"";
"19.03.2019 05:00";"0.3";"769.8";"769.3";"0.6";"97";"Ветер, дующий с юго-юго-востока";"1";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"17.0";"-0.1";"Осадков нет";"1";"";"";"";"";
"19.03.2019 04:00";"-1.6";"769.6";"769.1";"0.4";"96";"Ветер, дующий с юго-востока";"1";"2";"2";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"21.0";"-2.1";"Осадков нет";"1";"";"";"";"";
"19.03.2019 03:00";"-0.3";"769.3";"768.8";"0.3";"100";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"20.0";"-0.3";"Осадков нет";"1";"";"";"";"";
"19.03.2019 02:00";"0.7";"769.2";"768.7";"0.5";"94";"Ветер, дующий с юга";"1";"1";"1";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"20–30%.";"600-1000";"";"";"19.0";"-0.2";"Осадков нет";"1";"";"";"";"";
"19.03.2019 01:00";"0.5";"769.2";"768.7";"0.8";"94";"Штиль, безветрие";"0";"";"";"50%.";"Облака в целом образовывались или развивались. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"600-1000";"";"";"25.0";"-0.4";"Осадков нет";"6";"";"";"";"";
"19.03.2019 00:00";"1.6";"769.0";"768.5";"0.9";"88";"Ветер, дующий с юга";"1";"1";"2";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"";"";"";"";"26.0";"-0.2";"Осадков нет";"1";"";"";"";"";
"18.03.2019 23:00";"1.4";"768.7";"768.3";"1.2";"85";"Ветер, дующий с юго-юго-востока";"1";"1";"1";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"20–30%.";"600-1000";"";"";"30.0";"-0.8";"Осадков нет";"1";"";"";"";"";
"18.03.2019 22:00";"1.7";"768.4";"768.1";"1.3";"88";"Ветер, дующий с запада";"1";"";"";"50%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"50%.";"1000-1500";"";"";"28.0";"-0.1";"Осадков нет";"1";"";"";"";"";
"18.03.2019 21:00";"1.7";"768.1";"767.6";"1.5";"84";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"40.0";"-0.7";"Осадков нет";"1";"";"";"";"";
"18.03.2019 20:00";"3.0";"767.5";"767.1";"1.2";"79";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"";"";"";"40.0";"-0.3";"Осадков нет";"1";"";"";"";"";
"18.03.2019 19:00";"3.8";"767.1";"766.7";"1.2";"78";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"10.0";"";"";"";"";"";"40.0";"0.3";"0.4";"12";"";"";"";"";
"18.03.2019 18:00";"7.0";"766.6";"766.2";"1.2";"66";"Ветер, дующий с западо-северо-запада";"3";"";"";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"20–30%.";"1000-1500";"";"";"35.0";"1.0";"Осадков нет";"1";"";"";"";"";
"18.03.2019 17:00";"7.5";"766.3";"765.8";"1.0";"67";"Ветер, дующий с западо-северо-запада";"5";"";"";"70 – 80%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"70 – 80%.";"1000-1500";"";"";"35.0";"1.7";"Осадков нет";"1";"";"";"";"";
"18.03.2019 16:00";"8.5";"765.9";"765.4";"0.8";"60";"Ветер, дующий с западо-северо-запада";"6";"";"";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"20–30%.";"1000-1500";"";"";"35.0";"1.2";"Осадков нет";"1";"";"";"";"";
"18.03.2019 15:00";"8.0";"765.4";"765.1";"0.7";"61";"Ветер, дующий с западо-северо-запада";"6";"";"";"90  или более, но не 100%";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"90  или более, но не 100%";"1500-2000";"";"";"30.0";"0.9";"Осадков нет";"1";"";"";"";"";
"18.03.2019 14:00";"8.6";"765.3";"764.8";"1.3";"64";"Ветер, дующий с западо-северо-запада";"5";"";"";"60%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"60%.";"1500-2000";"";"";"24.0";"2.1";"Осадков нет";"1";"";"";"";"";
"18.03.2019 13:00";"7.0";"765.1";"764.6";"1.6";"70";"Ветер, дующий с западо-северо-запада";"8";"12";"";"100%.";"Облака в целом образовывались или развивались. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"";"600-1000";"";"";"29.0";"1.8";"0.4";"6";"";"";"";"";
"18.03.2019 12:00";"7.9";"764.7";"764.2";"2.0";"67";"Ветер, дующий с западо-северо-запада";"7";"";"";"50%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"50%.";"600-1000";"";"";"22.0";"2.0";"Осадков нет";"1";"";"";"";"";
"18.03.2019 11:00";"8.2";"764.0";"763.6";"1.9";"71";"Ветер, дующий с запада";"5";"";"";"90  или более, но не 100%";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"60%.";"600-1000";"";"";"27.0";"3.2";"Осадков нет";"1";"";"";"";"";
"18.03.2019 10:00";"5.6";"763.5";"763.1";"1.7";"80";"Ветер, дующий с запада";"4";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"1000-1500";"";"";"40.0";"2.4";"0.2";"1";"";"";"";"";
"18.03.2019 09:00";"6.9";"762.7";"762.4";"1.8";"77";"Ветер, дующий с западо-северо-запада";"5";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливни или перемещающиеся осадки.";"Дождь.";"4.1";"";"";"";"";"";"";"24.0";"3.1";"Осадков нет";"1";"";"";"";"";
"18.03.2019 08:00";"4.7";"762.1";"761.7";"1.8";"85";"Ветер, дующий с запада";"5";"";"";"100%.";"Осадки ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"600-1000";"";"";"28.0";"2.4";"0.2";"1";"";"";"";"";
"18.03.2019 07:00";"4.5";"761.8";"761.3";"1.9";"81";"Ветер, дующий с запада";"6";"8";"11";"100%.";"Морось (незамерзающая) или снежные зерна. ";"Ливни или перемещающиеся осадки.";"Никаких особых явлений погоды не наблюдалось.";"4.1";"";"";"";"1000-1500";"";"";"40.0";"1.5";"0.9";"12";"";"";"";"";
"18.03.2019 06:00";"5.2";"760.9";"760.7";"1.7";"82";"Ветер, дующий с западо-северо-запада";"6";"";"";"60%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"60%.";"600-1000";"";"";"21.0";"2.4";"0.3";"1";"";"";"";"";
"18.03.2019 05:00";"4.5";"760.3";"760.0";"1.5";"85";"Ветер, дующий с запада";"5";"";"";"50%.";"Морось (незамерзающая) или снежные зерна. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"50%.";"600-1000";"";"";"35.0";"2.2";"Осадков нет";"1";"";"";"";"";
"18.03.2019 04:00";"4.7";"759.9";"759.5";"1.7";"83";"Ветер, дующий с запада";"4";"6";"11";"70 – 80%.";"Облака в целом образовывались или развивались. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"70 – 80%.";"600-1000";"";"";"40.0";"2.0";"Осадков нет";"1";"";"";"";"";
"18.03.2019 03:00";"4.7";"759.2";"758.8";"1.3";"86";"Ветер, дующий с западо-северо-запада";"4";"6";"10";"Облаков нет.";"Морось (незамерзающая) или снежные зерна. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"";"";"";"";"26.0";"2.5";"Осадков нет";"1";"";"";"";"";
"18.03.2019 02:00";"5.8";"758.8";"758.4";"1.1";"87";"Ветер, дующий с западо-северо-запада";"5";"7";"11";"100%.";"Морось незамерзающая слабая. ";"Морось.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"30.0";"3.8";"0.2";"1";"";"";"";"";
"18.03.2019 01:00";"7.1";"758.2";"757.6";"0.9";"77";"Ветер, дующий с запада";"7";"10";"11";"100%.";"Облака в целом образовывались или развивались. ";"Ливни или перемещающиеся осадки.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"600-1000";"";"";"35.0";"3.3";"0.3";"6";"";"";"";"";
"18.03.2019 00:00";"6.4";"757.9";"757.4";"1.0";"79";"Ветер, дующий с западо-юго-запада";"5";"8";"8";"60%.";"Облака в целом образовывались или развивались. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"60%.";"1500-2000";"";"";"45.0";"2.9";"Осадков нет";"1";"";"";"";"";
"17.03.2019 23:00";"5.2";"757.7";"757.3";"1.4";"82";"Ветер, дующий с западо-юго-запада";"4";"6";"8";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"";"";"";"";"45.0";"2.4";"Осадков нет";"1";"";"";"";"";
"17.03.2019 22:00";"5.6";"757.3";"756.9";"1.5";"80";"Ветер, дующий с западо-юго-запада";"6";"";"";"10%  или менее, но не 0";"Облака в целом образовывались или развивались. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"10%  или менее, но не 0";"600-1000";"";"";"40.0";"2.4";"Осадков нет";"1";"";"";"";"";
"17.03.2019 21:00";"5.7";"756.9";"756.4";"1.8";"76";"Ветер, дующий с запада";"5";"";"";"Облаков нет.";"Отдаленная молния. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"";"";"";"";"40.0";"1.8";"Осадков нет";"1";"";"";"";"";
"17.03.2019 20:00";"6.2";"756.3";"755.9";"1.8";"68";"Ветер, дующий с запада";"5";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"600-1000";"";"";"45.0";"0.7";"0.3";"1";"";"";"";"";
"17.03.2019 19:00";"6.5";"755.8";"755.3";"1.6";"68";"Ветер, дующий с запада";"6";"10";"14";"20–30%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"9.3";"";"";"1000-1500";"";"";"45.0";"1.0";"0.1";"12";"";"";"";"";
"17.03.2019 18:00";"7.1";"755.1";"754.7";"1.4";"62";"Ветер, дующий с запада";"7";"";"";"20–30%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"20–30%.";"1500-2000";"";"";"45.0";"0.2";"Осадков нет";"1";"";"";"";"";
"17.03.2019 17:00";"7.8";"754.5";"754.0";"1.2";"62";"Ветер, дующий с запада";"8";"";"";"100%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"40.0";"1.0";"Осадков нет";"1";"";"";"";"";
"17.03.2019 16:00";"7.8";"754.2";"753.7";"1.1";"62";"Ветер, дующий с запада";"8";"";"";"50%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"";"";"";"";"";"50%.";"1000-1500";"";"";"40.0";"0.8";"Осадков нет";"1";"";"";"";"";
"17.03.2019 15:00";"7.7";"753.7";"753.3";"1.5";"66";"Ветер, дующий с запада";"8";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"35.0";"1.6";"Осадков нет";"1";"";"";"";"";
"17.03.2019 14:00";"7.5";"753.3";"752.9";"1.8";"70";"Ветер, дующий с запада";"9";"";"";"70 – 80%.";"Облака в целом образовывались или развивались. ";"";"";"";"";"";"70 – 80%.";"600-1000";"";"";"40.0";"2.4";"Осадков нет";"1";"";"";"";"";
"17.03.2019 13:00";"7.5";"753.1";"752.6";"2.4";"69";"Ветер, дующий с запада";"9";"14";"15";"60%.";"Облака в целом образовывались или развивались. ";"Ливни или перемещающиеся осадки.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"600-1000";"";"";"35.0";"2.2";"0.1";"6";"";"";"";"";
"17.03.2019 12:00";"7.7";"752.2";"751.9";"2.3";"71";"Ветер, дующий с запада";"9";"";"";"50%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"50%.";"600-1000";"";"";"30.0";"2.8";"Осадков нет";"1";"";"";"";"";
"17.03.2019 11:00";"7.3";"751.5";"751.1";"2.4";"75";"Ветер, дующий с запада";"8";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливни или перемещающиеся осадки.";"";"";"";"";"90  или более, но не 100%";"600-1000";"";"";"45.0";"3.1";"Осадков нет";"1";"";"";"";"";
"17.03.2019 10:00";"7.7";"750.7";"750.4";"2.1";"78";"Ветер, дующий с запада";"8";"";"";"90  или более, но не 100%";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"";"";"";"";"90  или более, но не 100%";"600-1000";"";"";"35.0";"4.0";"Осадков нет";"1";"";"";"";"";
"17.03.2019 09:00";"6.7";"749.9";"749.6";"2.2";"85";"Ветер, дующий с запада";"5";"";"";"90  или более, но не 100%";"Ливневый дождь или дождь с перерывами слабый. ";"";"";"5.5";"";"";"90  или более, но не 100%";"300-600";"";"";"28.0";"4.3";"0.1";"1";"";"";"";"";
"17.03.2019 08:00";"7.3";"749.1";"748.8";"1.6";"82";"Ветер, дующий с западо-юго-запада";"8";"";"";"100%.";"Осадки ";"Ливни или перемещающиеся осадки.";"";"";"";"";"100%.";"300-600";"";"";"30.0";"4.4";"Осадков нет";"1";"";"";"";"";
"17.03.2019 07:00";"6.2";"748.6";"748.2";"2.1";"85";"Ветер, дующий с запада";"4";"6";"19";"50%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Ливни или перемещающиеся осадки.";"Дождь.";"5.5";"";"";"";"600-1000";"";"";"45.0";"3.9";"5.0";"12";"";"";"";"";
"17.03.2019 06:00";"6.0";"747.7";"747.4";"0.9";"90";"Ветер, дующий с запада";"3";"";"";"100%.";"Дождь (незамерзающий). ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"600-1000";"";"";"45.0";"4.5";"0.6";"1";"";"";"";"";
"17.03.2019 05:00";"6.2";"747.5";"747.2";"0.2";"97";"Ветер, дующий с западо-северо-запада";"4";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"200-300";"";"";"6.0";"5.7";"3.0";"1";"";"";"";"";
"17.03.2019 04:00";"8.4";"746.5";"746.1";"-1.4";"92";"Ветер, дующий с юго-запада";"11";"15";"19";"100%.";"Морось и дождь умеренные или сильные. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"300-600";"";"";"6.0";"7.1";"1.0";"1";"";"";"";"";
"17.03.2019 03:00";"8.7";"746.8";"746.3";"-1.6";"89";"Ветер, дующий с юго-юго-запада";"12";"19";"19";"100%.";"Дождь незамерзающий умеренный. ";"Ливни или перемещающиеся осадки.";"Морось.";"";"";"";"100%.";"300-600";"";"";"11.0";"7.0";"1.0";"1";"";"";"";"";
"17.03.2019 02:00";"9.0";"747.3";"747.0";"-1.6";"85";"Ветер, дующий с юго-юго-запада";"11";"17";"17";"100%.";"Морось незамерзающая сильная. ";"Дождь.";"";"";"";"";"100%.";"300-600";"";"";"6.0";"6.5";"0.1";"1";"";"";"";"";
"17.03.2019 01:00";"10.1";"747.9";"747.4";"-1.5";"75";"Ветер, дующий с юго-запада";"13";"19";"20";"100%.";"Ливневый дождь или дождь с перерывами слабый. ";"Дождь.";"Никаких особых явлений погоды не наблюдалось.";"";"";"";"";"600-1000";"";"";"16.0";"5.8";"Осадков нет";"6";"";"";"";"";
"17.03.2019 00:00";"10.8";"748.4";"748.0";"-2.0";"71";"Ветер, дующий с юго-запада";"10";"15";"19";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"1000-1500";"";"";"35.0";"5.6";"Осадков нет";"1";"";"";"";"";
"16.03.2019 23:00";"10.5";"748.9";"748.5";"-2.0";"71";"Ветер, дующий с юго-запада";"11";"17";"18";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"60%.";"1000-1500";"";"";"35.0";"5.4";"Осадков нет";"1";"";"";"";"";
"16.03.2019 22:00";"10.7";"749.4";"748.9";"-1.7";"71";"Ветер, дующий с юго-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"30.0";"5.6";"Осадков нет";"1";"";"";"";"";
"16.03.2019 21:00";"10.9";"750.4";"750.0";"-1.1";"73";"Ветер, дующий с юго-запада";"10";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"90  или более, но не 100%";"600-1000";"";"";"27.0";"6.2";"Осадков нет";"1";"";"";"";"";
"16.03.2019 20:00";"11.1";"750.9";"750.4";"-1.0";"73";"Ветер, дующий с юго-запада";"12";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"6.3";"Осадков нет";"1";"";"";"";"";
"16.03.2019 19:00";"10.8";"751.1";"750.7";"-1.1";"71";"Ветер, дующий с юго-запада";"14";"18";"24";"100%.";"Состояние неба в общем не изменилось. ";"Никаких особых явлений погоды не наблюдалось.";"Никаких особых явлений погоды не наблюдалось.";"";"11.6";"";"";"600-1000";"";"";"30.0";"5.7";"2.0";"12";"";"";"";"";
"16.03.2019 18:00";"10.7";"751.5";"751.0";"-1.4";"71";"Ветер, дующий с юго-запада";"13";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"5.7";"Осадков нет";"1";"";"";"";"";
"16.03.2019 17:00";"10.8";"751.9";"751.3";"-1.5";"73";"Ветер, дующий с юго-запада";"13";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"6.1";"Осадков нет";"1";"";"";"";"";
"16.03.2019 16:00";"11.0";"752.2";"751.9";"-1.7";"75";"Ветер, дующий с юго-запада";"14";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"6.6";"Осадков нет";"1";"";"";"";"";
"16.03.2019 15:00";"11.1";"752.9";"752.3";"-1.2";"75";"Ветер, дующий с юго-запада";"14";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"29.0";"6.8";"Осадков нет";"1";"";"";"";"";
"16.03.2019 14:00";"10.9";"753.4";"753.0";"-0.9";"78";"Ветер, дующий с юго-запада";"13";"";"";"100%.";"Состояние неба в общем не изменилось. ";"";"";"";"";"";"100%.";"600-1000";"";"";"30.0";"7.1";"Осадков нет";"1";"";"";"";"";
"16.03.2019 13:00";"11.2";"753.9";"753.4";"-0.7";"76";"Ветер, дующий с западо-юго-запада";"16";"22";"23";"100%.";"Состояние неба в общем не изменилось. ";"Дождь.";"Морось.";"";"";"";"";"600-1000";"";"";"35.0";"7.1";"2.0";"6";"";"";"";"";
"16.03.2019 12:00";"11.1";"754.1";"753.6";"-0.9";"78";"Ветер, дующий с западо-юго-запада";"14";"";"";"100%.";"Морось (незамерзающая) или снежные зерна. ";"Дождь.";"";"";"";"";"100%.";"600-1000";"";"";"24.0";"7.3";"Осадков нет";"1";"";"";"";"";
"16.03.2019 11:00";"10.5";"754.3";"754.0";"-0.6";"83";"Ветер, дующий с юго-запада";"13";"";"";"100%.";"Морось незамерзающая слабая. ";"Дождь.";"";"";"";"";"100%.";"300-600";"";"";"18.0";"7.7";"Осадков нет";"1";"";"";"";"";
"16.03.2019 10:00";"10.4";"754.6";"754.3";"-0.6";"86";"Ветер, дующий с юго-запада";"13";"";"";"100%.";"Дождь (незамерзающий). ";"Дождь.";"Дождь.";"";"";"";"100%.";"300-600";"";"";"15.0";"8.2";"0.1";"1";"";"";"";"";
"16.03.2019 09:00";"9.9";"755.0";"754.5";"-0.8";"93";"Ветер, дующий с западо-юго-запада";"12";"";"";"100%.";"Дождь незамерзающий умеренный. ";"Дождь.";"Дождь.";"7.5";"";"";"100%.";"200-300";"";"";"5.0";"8.8";"1.0";"1";"";"";"";"";
"16.03.2019 08:00";"9.7";"754.9";"754.6";"";"93";"Ветер, дующий с западо-юго-запада";"13";"";"";"100%.";"Дождь незамерзающий слабый. ";"Дождь.";"Дождь.";"";"";"";"90  или более, но не 100%";"300-600";"";"";"5.0";"8.6";"";"";"";"";"";"";
"16.03.2019 07:00";"9.7";"755.3";"754.9";"-1.6";"94";"Ветер, дующий с западо-юго-запада";"12";"17";"17";"100%.";"Дождь незамерзающий слабый. ";"Ливни или перемещающиеся осадки.";"Морось.";"7.5";"";"";"";"200-300";"";"";"7.0";"8.7";"5.0";"12";"";"";"";"";
